{1: 7, 2: 9, 3: 8, 4: 10, 5: 7}
{1: 6, 2: 9, 3: 9, 4: 10, 5: 7}
{1: 6, 2: 9, 3: 10, 4: 10, 5: 6}
{1: 6, 2: 9, 3: 10, 4: 10, 5: 6}
{1: 8, 2: 6, 3: 9, 4: 10, 5: 7}
{1: 6, 2: 8, 3: 9, 4: 10, 5: 7}
{1: 6, 2: 9, 3: 8, 4: 9, 5: 8}
{1: 6, 2: 9, 3: 9, 4: 9, 5: 7}
{1: 8, 2: 6, 3: 7, 4: 9, 5: 9}
{1: 8, 2: 8, 3: 9, 4: 10, 5: 7}
{1: 8, 2: 8, 3: 10, 4: 8, 5: 8}
{1: 8, 2: 8, 3: 10, 4: 8, 5: 8}
{1: 9, 2: 7, 3: 9, 4: 9, 5: 8}
{1: 6, 2: 7, 3: 8, 4: 9, 5: 8}
{1: 4, 2: 9, 3: 8, 4: 9, 5: 8}
{1: 6, 2: 9, 3: 8, 4: 9, 5: 7}
{1: 10, 2: 8, 3: 6, 4: 6, 5: 9}
{1: 9, 2: 9, 3: 8, 4: 9, 5: 7}
{1: 8, 2: 8, 3: 8, 4: 10, 5: 7}
{1: 6, 2: 8, 3: 10, 4: 9, 5: 7}
{1: 6, 2: 8, 3: 10, 4: 9, 5: 7}
{1: 8, 2: 9, 3: 9, 4: 9, 5: 6}
{1: 10, 2: 6, 3: 7, 4: 10, 5: 8}
{1: 8, 2: 7, 3: 10, 4: 7, 5: 9}
{1: 6, 2: 8, 3: 10, 4: 9, 5: 7}
{1: 8, 2: 8, 3: 8, 4: 10, 5: 7}
{1: 7, 2: 7, 3: 10, 4: 10, 5: 6}
{1: 7, 2: 6, 3: 10, 4: 9, 5: 8}
{1: 7, 2: 6, 3: 10, 4: 9, 5: 8}
{1: 9, 2: 7, 3: 7, 4: 8, 5: 9}
{1: 7, 2: 3, 3: 10, 4: 10, 5: 8}
{1: 4, 2: 5, 3: 10, 4: 9, 5: 9}
{1: 4, 2: 5, 3: 10, 4: 9, 5: 9}
{1: 5, 2: 8, 3: 9, 4: 8, 5: 9}
{1: 8, 2: 8, 3: 8, 4: 10, 5: 7}
{1: 5, 2: 10, 3: 9, 4: 10, 5: 7}
{1: 8, 2: 10, 3: 7, 4: 10, 5: 6}
{1: 5, 2: 10, 3: 9, 4: 10, 5: 7}
{1: 9, 2: 9, 3: 8, 4: 8, 5: 8}
{1: 8, 2: 10, 3: 7, 4: 9, 5: 8}
{1: 9, 2: 9, 3: 9, 4: 6, 5: 9}
{1: 9, 2: 8, 3: 9, 4: 9, 5: 7}
{1: 10, 2: 5, 3: 7, 4: 10, 5: 8}
{1: 8, 2: 8, 3: 7, 4: 9, 5: 8}
{1: 9, 2: 8, 3: 9, 4: 9, 5: 7}
{1: 9, 2: 8, 3: 9, 4: 9, 5: 7}
{1: 10, 2: 10, 3: 10, 4: 10, 5: 10}
{1: 10, 2: 10, 3: 10, 4: 10, 5: 10}
{1: 10, 2: 10, 3: 10, 4: 10, 5: 10}
{1: 10, 2: 10, 3: 10, 4: 10, 5: 10}
{1: 7, 2: 7, 3: 9, 4: 9, 5: 8}
{1: 7, 2: 7, 3: 9, 4: 9, 5: 8}
{1: 7, 2: 7, 3: 9, 4: 9, 5: 8}
{1: 10, 2: 10, 3: 10, 4: 10, 5: 10}
{1: 10, 2: 10, 3: 10, 4: 10, 5: 10}
{1: 10, 2: 10, 3: 10, 4: 10, 5: 10}
{1: 10, 2: 10, 3: 10, 4: 10, 5: 10}
{1: 10, 2: 10, 3: 10, 4: 10, 5: 10}
{1: 10, 2: 10, 3: 10, 4: 10, 5: 10}
{1: 10, 2: 10, 3: 10, 4: 10, 5: 10}
{1: 10, 2: 10, 3: 10, 4: 10, 5: 10}
{1: 10, 2: 10, 3: 10, 4: 10, 5: 10}
{1: 2, 2: 6, 3: 8, 4: 8, 5: 10}
{1: 4, 2: 8, 3: 8, 4: 6, 5: 10}
{1: 4, 2: 8, 3: 8, 4: 6, 5: 10}
{1: 6, 2: 7, 3: 8, 4: 7, 5: 9}
{1: 8, 2: 7, 3: 8, 4: 10, 5: 8}
{1: 5, 2: 9, 3: 10, 4: 10, 5: 7}
{1: 6, 2: 9, 3: 9, 4: 10, 5: 7}
{1: 5, 2: 9, 3: 10, 4: 10, 5: 7}
{1: 6, 2: 8, 3: 10, 4: 8, 5: 9}
{1: 5, 2: 9, 3: 10, 4: 9, 5: 8}
{1: 8, 2: 9, 3: 8, 4: 7, 5: 10}
{1: 7, 2: 10, 3: 7, 4: 10, 5: 8}
{1: 4, 2: 7, 3: 10, 4: 10, 5: 8}
{1: 3, 2: 9, 3: 10, 4: 8, 5: 9}
{1: 2, 2: 9, 3: 10, 4: 8, 5: 9}
{1: 7, 2: 9, 3: 10, 4: 10, 5: 5}
{1: 6, 2: 7, 3: 9, 4: 10, 5: 7}
{1: 7, 2: 6, 3: 9, 4: 9, 5: 8}
{1: 4, 2: 10, 3: 9, 4: 9, 5: 7}
{1: 9, 2: 8, 3: 8, 4: 9, 5: 7}
{1: 9, 2: 9, 3: 7, 4: 10, 5: 6}
{1: 9, 2: 9, 3: 7, 4: 10, 5: 6}
{1: 7, 2: 9, 3: 8, 4: 10, 5: 7}
{1: 6, 2: 9, 3: 10, 4: 10, 5: 6}
{1: 7, 2: 8, 3: 8, 4: 10, 5: 7}
{1: 5, 2: 9, 3: 9, 4: 10, 5: 6}
{1: 7, 2: 9, 3: 8, 4: 10, 5: 7}
{1: 8, 2: 8, 3: 9, 4: 10, 5: 5}
{1: 6, 2: 9, 3: 7, 4: 10, 5: 8}
{1: 0, 2: 9, 3: 8, 4: 10, 5: 9}
{1: 7, 2: 9, 3: 8, 4: 10, 5: 7}
{1: 7, 2: 9, 3: 8, 4: 10, 5: 7}
{1: 10, 2: 10, 3: 10, 4: 10, 5: 10}
{1: 5, 2: 6, 3: 8, 4: 10, 5: 9}
{1: 3, 2: 7, 3: 9, 4: 8, 5: 10}
{1: 7, 2: 8, 3: 8, 4: 8, 5: 9}
{1: 8, 2: 8, 3: 8, 4: 8, 5: 8}
{1: 8, 2: 8, 3: 8, 4: 10, 5: 7}
{1: 5, 2: 10, 3: 9, 4: 10, 5: 7}
{1: 8, 2: 10, 3: 7, 4: 10, 5: 6}
{1: 5, 2: 10, 3: 9, 4: 10, 5: 7}
{1: 8, 2: 7, 3: 9, 4: 10, 5: 7}
{1: 5, 2: 10, 3: 9, 4: 10, 5: 7}
{1: 6, 2: 9, 3: 9, 4: 9, 5: 8}
{1: 5, 2: 10, 3: 9, 4: 10, 5: 7}
{1: 10, 2: 10, 3: 10, 4: 10, 5: 10}
{1: 7, 2: 6, 3: 10, 4: 9, 5: 8}
{1: 5, 2: 8, 3: 10, 4: 9, 5: 8}
{1: 5, 2: 8, 3: 10, 4: 9, 5: 8}
{1: 8, 2: 10, 3: 7, 4: 9, 5: 8}
{1: 7, 2: 10, 3: 8, 4: 9, 5: 7}
{1: 6, 2: 8, 3: 9, 4: 9, 5: 8}
{1: 8, 2: 8, 3: 9, 4: 7, 5: 9}
{1: 8, 2: 8, 3: 9, 4: 7, 5: 9}
{1: 9, 2: 9, 3: 7, 4: 10, 5: 6}
{1: 9, 2: 9, 3: 7, 4: 10, 5: 6}
{1: 7, 2: 9, 3: 8, 4: 10, 5: 7}
{1: 6, 2: 9, 3: 10, 4: 10, 5: 6}
{1: 9, 2: 9, 3: 8, 4: 9, 5: 7}
{1: 7, 2: 8, 3: 8, 4: 10, 5: 8}
{1: 4, 2: 10, 3: 10, 4: 10, 5: 7}
{1: 7, 2: 9, 3: 9, 4: 9, 5: 7}
{1: 4, 2: 10, 3: 10, 4: 10, 5: 7}
{1: 10, 2: 10, 3: 10, 4: 10, 5: 10}
{1: 6, 2: 8, 3: 10, 4: 10, 5: 7}
{1: 5, 2: 9, 3: 10, 4: 9, 5: 8}
{1: 8, 2: 9, 3: 8, 4: 8, 5: 9}
{1: 4, 2: 10, 3: 10, 4: 10, 5: 7}
{1: 10, 2: 10, 3: 10, 4: 10, 5: 10}
{1: 7, 2: 7, 3: 7, 4: 10, 5: 9}
{1: 6, 2: 8, 3: 10, 4: 10, 5: 7}
{1: 7, 2: 9, 3: 8, 4: 9, 5: 8}
{1: 6, 2: 8, 3: 10, 4: 10, 5: 7}
{1: 10, 2: 10, 3: 10, 4: 10, 5: 10}
{1: 10, 2: 10, 3: 10, 4: 10, 5: 10}
{1: 10, 2: 10, 3: 10, 4: 10, 5: 10}
{1: 10, 2: 10, 3: 10, 4: 10, 5: 10}
{1: 10, 2: 10, 3: 10, 4: 10, 5: 10}
{1: 4, 2: 5, 3: 7, 4: 10, 5: 10}
{1: 4, 2: 7, 3: 9, 4: 8, 5: 10}
{1: 4, 2: 7, 3: 9, 4: 8, 5: 10}
{1: 4, 2: 7, 3: 9, 4: 8, 5: 10}
{1: 5, 2: 9, 3: 9, 4: 10, 5: 7}
{1: 5, 2: 9, 3: 9, 4: 10, 5: 7}
{1: 5, 2: 9, 3: 9, 4: 10, 5: 7}
{1: 7, 2: 10, 3: 7, 4: 10, 5: 7}
{1: 6, 2: 10, 3: 9, 4: 10, 5: 6}
{1: 7, 2: 8, 3: 10, 4: 10, 5: 6}
{1: 5, 2: 8, 3: 10, 4: 9, 5: 8}
{1: 8, 2: 9, 3: 8, 4: 10, 5: 7}
{1: 9, 2: 7, 3: 9, 4: 10, 5: 7}
{1: 7, 2: 6, 3: 7, 4: 9, 5: 9}
{1: 6, 2: 6, 3: 9, 4: 10, 5: 8}
{1: 7, 2: 4, 3: 9, 4: 9, 5: 9}
{1: 9, 2: 9, 3: 7, 4: 7, 5: 9}
{1: 10, 2: 10, 3: 10, 4: 10, 5: 10}
{1: 10, 2: 10, 3: 10, 4: 10, 5: 10}
{1: 10, 2: 10, 3: 10, 4: 10, 5: 10}
{1: 10, 2: 10, 3: 10, 4: 10, 5: 10}
{1: 10, 2: 10, 3: 10, 4: 10, 5: 10}
{1: 10, 2: 10, 3: 10, 4: 10, 5: 10}
{1: 10, 2: 10, 3: 10, 4: 10, 5: 10}
{1: 6, 2: 9, 3: 6, 4: 10, 5: 8}
{1: 6, 2: 9, 3: 6, 4: 10, 5: 8}
{1: 5, 2: 9, 3: 6, 4: 8, 5: 10}
{1: 6, 2: 8, 3: 8, 4: 9, 5: 8}
{1: 8, 2: 8, 3: 9, 4: 10, 5: 7}
{1: 8, 2: 8, 3: 9, 4: 10, 5: 7}
{1: 5, 2: 8, 3: 10, 4: 10, 5: 7}
{1: 8, 2: 8, 3: 9, 4: 10, 5: 7}
{1: 7, 2: 6, 3: 8, 4: 9, 5: 9}
{1: 8, 2: 8, 3: 9, 4: 10, 5: 7}
{1: 7, 2: 9, 3: 10, 4: 6, 5: 9}
{1: 6, 2: 10, 3: 9, 4: 9, 5: 7}
{1: 10, 2: 10, 3: 10, 4: 10, 5: 10}
{1: 10, 2: 10, 3: 10, 4: 10, 5: 10}
{1: 6, 2: 7, 3: 10, 4: 9, 5: 8}
{1: 6, 2: 8, 3: 9, 4: 8, 5: 9}
{1: 6, 2: 6, 3: 9, 4: 9, 5: 9}
{1: 5, 2: 8, 3: 10, 4: 10, 5: 7}
{1: 10, 2: 10, 3: 10, 4: 10, 5: 10}
{1: 7, 2: 7, 3: 7, 4: 10, 5: 8}
{1: 7, 2: 7, 3: 7, 4: 10, 5: 8}
{1: 7, 2: 7, 3: 7, 4: 10, 5: 8}
{1: 6, 2: 6, 3: 10, 4: 9, 5: 8}
{1: 9, 2: 9, 3: 6, 4: 10, 5: 7}
{1: 4, 2: 10, 3: 10, 4: 7, 5: 6}
{1: 7, 2: 9, 3: 9, 4: 8, 5: 8}
{1: 7, 2: 8, 3: 10, 4: 9, 5: 7}
{1: 10, 2: 10, 3: 10, 4: 10, 5: 10}
{1: 10, 2: 10, 3: 10, 4: 10, 5: 10}
{1: 6, 2: 8, 3: 10, 4: 10, 5: 6}
{1: 6, 2: 8, 3: 10, 4: 10, 5: 6}
{1: 7, 2: 6, 3: 7, 4: 9, 5: 10}
{1: 7, 2: 7, 3: 10, 4: 8, 5: 9}
{1: 8, 2: 8, 3: 9, 4: 8, 5: 9}
{1: 8, 2: 9, 3: 7, 4: 9, 5: 9}
{1: 9, 2: 5, 3: 9, 4: 8, 5: 9}
{1: 7, 2: 8, 3: 7, 4: 9, 5: 9}
{1: 5, 2: 8, 3: 8, 4: 9, 5: 9}
{1: 8, 2: 8, 3: 9, 4: 7, 5: 8}
{1: 9, 2: 9, 3: 8, 4: 9, 5: 7}
{1: 7, 2: 9, 3: 7, 4: 10, 5: 7}
{1: 7, 2: 8, 3: 8, 4: 10, 5: 8}
{1: 10, 2: 8, 3: 7, 4: 9, 5: 8}
{1: 10, 2: 10, 3: 10, 4: 10, 5: 10}
{1: 10, 2: 10, 3: 10, 4: 10, 5: 10}
